calle,comuna,numero_region
Maipu 1020 OF 15,,
Eleuterio Ramírez,,
Ignacio Serrano 568,,
Quinel Ote. 2513,San Pedro de la Paz,8.0
Talcahuano16 Valparaíso 113 C.Ch.Cocholgüe,Talcahuano,5.0
Lastarria 79,,
Av. Cristobal Colon 6742 local 6,,
Costanera Rivera Norte 6800 Sitio 6 Hualpen,,
Ruta 160 12,,
Nicolas Verdugo 1953,,
Aureliano Oyarzún 535,Talcahuano,8.0
Brasil 259,Talcahuano,8.0
Juvenal Hernandez 665 El Carmen,,13.0
Portezuelo,,
Calle Granada 3325 Block 5 Depto 31 Lan A4,,
Ema Fuentes 757,,
Cam. del Amanecer 872,Concepción,8.0
Purén 299,,
San Vicente de Tagua Tagua,,6.0
Almitante Latorre 1009 San Vicente,,
Lago Riñihue,,
Ventus 1690,,
Callejon Santa Clara Km 7,,
Colón 24,Talcahuano,8.0
CARRERA 957,,
El Bosque Norte 0177 OF 501,,
Pedro Medina,,
AVENIDA LIBERTAD 321,,
Avda Costanera 5800 Lote 1 Parcela 9,,
San Miguel,,
N-892,,
Lote C Fundo Maitenco SN,,
La Divisa 01100,,
Berlin 4176 Crispulo Gandara,,
Arica 160,,
Rengo 68 Centro,,
Avenida La Foresta 130,,
Autopista 8360,,
Libertador Gral. Bernardo O'Higgins N° 536,Concepción,8.0
KM 6 camino a Yungay Sector Valle escondido,,
Vista Hermosa SN Bulnes,,13.0
Ongolmo 2155,Concepción,8.0
Los Gindos 96 Chiguayante,Chiguayante,
Jaime Repullo 2233,,
Abdón Cifuentes,Concepción,8.0
Talcahuano,Talcahuano,8.0
Maipú 1644,Maipú,8.0
O'Higgins 380,,6.0
Chorrillos 1153,Concepción,8.0
Av. Arturo Prat 507,,
Pasaje Las Azaleas 56 Los Conquistadores,,
Francisco Puelma Castillo 677,,
ruta N 224 Tropezon sn,,
Kl 9 camina a quillon bulnes,,
Sta. Elena,Concepción,8.0
Juan Macaya 70 San Vicente,,
Fresia 164 Arenal,,
Pasaje 4 n° 492 Mirador del Rio Chiguayante,Chiguayante,
Esperanza 507,Chiguayante,8.0
Juan de Dios Rivera 590,Concepción,8.0
Brasil 9 San Vicente,,
Michimalongo 3713-3695,Talcahuano,8.0
Av. Rodrigo de Araya 1263,,
Los Zorzales 7962,Hualpén,8.0
Dr Fernando Urra pasaje 3 casa 88  Altos de Chiguayante,Chiguayante,
Baquedano 1636,,
Ohiggins Poniente 50 Local 8,,6.0
Av. Pedro de Valdivia 880,Concepción,8.0
km 20,,
Manuel Montt 02500 Paso Seco Norte,,
Galvarino 91,,8.0
Raulí,,
Pasaje Tomas Thayer 746 Salinas,,
Purén 9157,Hualpén,8.0
Av Central Lote 7 Manzana B Parque Industrial N 2,,
Orella 74,Talcahuano,8.0
Arturo Prat 155,,
Longitudinal Sur,,
Monterrico 1761,,
Avenida Michaygue 808,,
Finlandia 840,Hualpén,8.0
Av. Collín 820,,
Ex fundo ñipas Hijuela 2 ranquil,,
Luis de Toledo 139,,
Canapus 22 villa los radales penco,Penco,
Sgto. Aldea 777,,
Calle Andalien 299,,
Comandante Simpson 40,Penco,8.0
